canonical_configuration_id,row_count,unique_technical_signatures,unique_package_contexts,identity_status
CFG731_15ced4cc8d86bb53,1,1,1,UNIQUE_ROW
CFG731_15f034f7c265528f,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_162b59c5f8cf5a72,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1642db5c21ada469,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_164591062a2b3589,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_164e84569c2cee64,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_166343048c227f3c,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_166dd118cf42e953,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_16700b9d004fb9de,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_168475c8045761e7,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_169a8482d2028dff,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_16b53411ff7f6c9b,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_16bd4e059b8168a9,1,1,1,UNIQUE_ROW
CFG731_16ccf49622e2676d,1,1,1,UNIQUE_ROW
CFG731_16cd4692a5f070ba,1,1,1,UNIQUE_ROW
CFG731_16e6520dce2c28e4,1,1,1,UNIQUE_ROW
CFG731_16f81be390fdae7e,1,1,1,UNIQUE_ROW
CFG731_172c288e777d2259,1,1,1,UNIQUE_ROW
CFG731_175641fe8d1c7f37,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_175dfbf580a50b51,1,1,1,UNIQUE_ROW
CFG731_178cf1499676fe1d,1,1,1,UNIQUE_ROW
CFG731_178dcdc053bfc8f2,1,1,1,UNIQUE_ROW
CFG731_17becc4d045fdd6e,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_17dba025c91c278d,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_181ea7d5a9c21b8c,1,1,1,UNIQUE_ROW
CFG731_184ec550d64fe37e,1,1,1,UNIQUE_ROW
CFG731_186348c5f967a6f7,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_187ec74b5c4854aa,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_187fd198d163ef5a,1,1,1,UNIQUE_ROW
CFG731_18e687233239e907,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_192157d53112de14,1,1,1,UNIQUE_ROW
CFG731_1962af6277da6f54,6,1,1,EXACT_DUPLICATE_ROWS
CFG731_198fe6b7784b4656,1,1,1,UNIQUE_ROW
CFG731_19bcffd0eb2806b8,1,1,1,UNIQUE_ROW
CFG731_19ca9bcd323192d2,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_19ec976991ce75a9,8,1,1,EXACT_DUPLICATE_ROWS
CFG731_19f7d73d8e42e7bd,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_1a1206cc52132df1,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_1a94d4f54519245f,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1af3f9470bd904d5,1,1,1,UNIQUE_ROW
CFG731_1afd2a52ab559a7a,1,1,1,UNIQUE_ROW
CFG731_1b33a9ed446bc0fd,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1b365e0951e7dea4,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_1b5b895b5e259903,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_1b8054cb5a92e4fa,1,1,1,UNIQUE_ROW
CFG731_1bc9c4d47c7d0696,1,1,1,UNIQUE_ROW
CFG731_1c1e38b9d9215e16,1,1,1,UNIQUE_ROW
CFG731_1c1fb7a32bf0146b,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_1c4555c04dc17835,1,1,1,UNIQUE_ROW
CFG731_1c5301147dd0cfb1,1,1,1,UNIQUE_ROW
CFG731_1cb3c1a9a0d94a34,1,1,1,UNIQUE_ROW
CFG731_1cbb464ec15ba84f,1,1,1,UNIQUE_ROW
CFG731_1cfadf20495f86bf,1,1,1,UNIQUE_ROW
CFG731_1d294b2de760852b,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_1d3bf6638fef70ae,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_1d59f25068204b01,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_1d623542e1ada7d8,1,1,1,UNIQUE_ROW
CFG731_1d7625425d9a9146,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1d78950cabc90332,1,1,1,UNIQUE_ROW
CFG731_1d89d7fdc7355744,8,1,1,EXACT_DUPLICATE_ROWS
CFG731_1d9f683b219cb519,1,1,1,UNIQUE_ROW
CFG731_1dfb5999b1debe3a,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1e04c9611da5e298,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1e3e39ce65cdb22f,1,1,1,UNIQUE_ROW
CFG731_1e692ee109597ef2,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1f0c09edcd967945,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_1f2a166cde9ede02,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1f31b1bf8dc9e962,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1f7c154d7e34e86e,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1f978c234895178c,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_1feda2f4109d616a,1,1,1,UNIQUE_ROW
CFG731_1ff2c28c953275c5,1,1,1,UNIQUE_ROW
CFG731_2009b1ab4cbc0ffb,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_205404302204a46b,1,1,1,UNIQUE_ROW
CFG731_20991e8bae2729c8,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_20d5aa6969b4ff70,1,1,1,UNIQUE_ROW
CFG731_20e0d69972310e9f,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_20e62aeb01c953da,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_20fe81ae7d0a406e,1,1,1,UNIQUE_ROW
CFG731_21325280890ecf9c,1,1,1,UNIQUE_ROW
CFG731_214106ade9f79641,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_214b093bf98ca9ef,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_214b769209164299,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_21833abb52d83273,1,1,1,UNIQUE_ROW
CFG731_219ac3d01befd6d1,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_21cf39d47f0d98ac,1,1,1,UNIQUE_ROW
CFG731_21def19203fecb10,1,1,1,UNIQUE_ROW
CFG731_21fc5cd75945ca37,1,1,1,UNIQUE_ROW
CFG731_2205a8cc5d1ff08b,1,1,1,UNIQUE_ROW
CFG731_22298b0cae6ec270,1,1,1,UNIQUE_ROW
CFG731_22429427ccd9f79c,1,1,1,UNIQUE_ROW
CFG731_226e375c4e7aa2a0,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_228013cfd0470f7a,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_2280a2734a5a07b0,1,1,1,UNIQUE_ROW
CFG731_22da0d6030817265,13,1,1,EXACT_DUPLICATE_ROWS
CFG731_22ee4ff4a2fef4e6,1,1,1,UNIQUE_ROW
CFG731_22fecf5bb26e1132,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_231fdaf3bc44943b,1,1,1,UNIQUE_ROW
CFG731_2322a268d0a898f9,1,1,1,UNIQUE_ROW
CFG731_232eb2e3754808f7,1,1,1,UNIQUE_ROW
CFG731_235ee3a364b5b6ec,1,1,1,UNIQUE_ROW
CFG731_2381ca2b7b235e06,1,1,1,UNIQUE_ROW
CFG731_23a1ed9427c6dc1f,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_23aa00a5306a83b2,6,1,1,EXACT_DUPLICATE_ROWS
CFG731_23b68b2dd2793a5e,1,1,1,UNIQUE_ROW
CFG731_23d75dfa953165d2,1,1,1,UNIQUE_ROW
CFG731_240d537f14b1a01d,1,1,1,UNIQUE_ROW
CFG731_241261e6f2e0673c,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_241c1be2434fc3a5,1,1,1,UNIQUE_ROW
CFG731_241d60e6ef5278be,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_243419c6708378b3,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_2451b1d5b9cd9ccd,1,1,1,UNIQUE_ROW
CFG731_24648603ca730481,1,1,1,UNIQUE_ROW
CFG731_2469d1b04bd775f6,9,1,1,EXACT_DUPLICATE_ROWS
CFG731_2497a004dc6e1657,3,1,1,EXACT_DUPLICATE_ROWS
