canonical_configuration_id,row_count,duplicate_rows
CFG731_c0f829ddab491342,5,4
CFG731_648b3a822a947c68,5,4
CFG731_8e5ce09a779d2284,5,4
CFG731_d3e51804db148a52,5,4
CFG731_455da2f832a6b66d,5,4
CFG731_fa2849b259355775,5,4
CFG731_6b36d25fda044bf5,5,4
CFG731_b30ceef5c5f902ca,5,4
CFG731_cd1c2b236ffda331,5,4
CFG731_b46f92852addf866,5,4
CFG731_260c36430f7c2d03,5,4
CFG731_4d0235c9d5cc61be,5,4
CFG731_2a738780f0517f67,5,4
CFG731_4de012f7232f644d,5,4
CFG731_7157b3d45716ad8f,5,4
CFG731_0e146b48e4ed8b98,5,4
CFG731_e67173c88f9460f6,5,4
CFG731_4d6c56202edf3f41,5,4
CFG731_996314000fcfec4b,5,4
CFG731_0ef26d136a7182e8,5,4
CFG731_5a14e01af9745dda,5,4
CFG731_70b78512b89df53d,5,4
CFG731_0bc9c3b6375d4380,5,4
CFG731_066736b465be9fda,5,4
CFG731_a8031a74f6d1710d,5,4
CFG731_d67b44eae58dfe59,5,4
CFG731_cf543b1c3927ab71,5,4
CFG731_5be5a82ac0b29989,5,4
CFG731_4af82641f975d9aa,5,4
CFG731_3794187f0a0c3133,5,4
CFG731_a288340143e53b7f,5,4
CFG731_134ecd7b8190bed1,5,4
CFG731_cf4bb519cec0df2f,5,4
CFG731_d44e54f35ee15977,5,4
CFG731_f53899c7a09e0138,5,4
CFG731_84352197821d09de,5,4
CFG731_8c429238b2628537,5,4
CFG731_cc50cacf788bd84a,5,4
CFG731_35ed22cad11f9a11,5,4
CFG731_a41a2d2cef1a675f,5,4
CFG731_5be384035f37d372,5,4
CFG731_6e088ee30195b6c4,5,4
CFG731_344778a042931752,5,4
CFG731_ef02695e374fc418,5,4
CFG731_14235f3888d71408,5,4
CFG731_7962ce0b7d875608,5,4
CFG731_cc64ce3eaedacb17,5,4
CFG731_6649a4899673b05e,5,4
CFG731_48aa9a27f24794bc,5,4
CFG731_da02526d254e2e35,5,4
CFG731_5dd42015f6f61801,5,4
CFG731_acbf4c45af55caad,5,4
CFG731_168475c8045761e7,5,4
CFG731_16700b9d004fb9de,5,4
CFG731_32b1041fd68aac23,5,4
CFG731_395f3e5588a2c3c0,5,4
CFG731_076cad91966d4c34,5,4
CFG731_65da22cd215fbcf6,5,4
CFG731_ba992c997be2c116,5,4
CFG731_1d294b2de760852b,5,4
CFG731_2688c6c5fd11ba8e,5,4
CFG731_dabfe16503f243e3,5,4
CFG731_adf77af8b73e9cdc,5,4
CFG731_adb08ca5dce20691,5,4
CFG731_2db6c530f35d47b9,5,4
CFG731_49bb1327a04ca706,5,4
CFG731_098da517f03c0deb,5,4
CFG731_617247356a7014fb,5,4
CFG731_04a704e692f8fd05,5,4
CFG731_19f7d73d8e42e7bd,5,4
CFG731_76101c3f14778541,5,4
CFG731_c775e192f3d489e9,5,4
CFG731_32b4b1ec4513af66,4,3
CFG731_9681c4eec01b7fad,4,3
CFG731_eb70dc35972dc4b7,4,3
CFG731_0029021d98da4557,4,3
CFG731_fa063863b8688588,4,3
CFG731_579057193c092394,4,3
CFG731_6357400dd5c2804a,4,3
CFG731_6b2b46dd281009ce,4,3
CFG731_2eea910b2403bc4c,4,3
CFG731_6f8c15548921e4c2,4,3
CFG731_6e53621a73b55f2c,4,3
CFG731_3727d181b2806370,4,3
CFG731_337790e6bbcf15f4,4,3
CFG731_3a6a87d7cf07cb7c,4,3
CFG731_633572f6d3593691,4,3
CFG731_fd7b09f495a568bc,4,3
CFG731_36d7686aca1200ae,4,3
CFG731_e6c0885eb14e429c,4,3
CFG731_5a8170a3daa0efb9,4,3
CFG731_ab67f4ca670c9841,4,3
CFG731_5aad423ad5989441,4,3
CFG731_9e4fccece4d272d3,4,3
CFG731_7c5284fb5f15d1d6,4,3
CFG731_28454766bbc80cb9,4,3
CFG731_9a0f0b26c7f24725,4,3
CFG731_f287b32480efae51,4,3
CFG731_13c87640928bf666,4,3
CFG731_7187559e0dc892c4,4,3
CFG731_6ad3ec8ed100118e,4,3
CFG731_1b365e0951e7dea4,4,3
CFG731_ad85e442c9239be7,4,3
CFG731_086adbe1d654b214,4,3
CFG731_c209599718b42485,4,3
CFG731_947b0b2717816adb,4,3
CFG731_af8fc23bebdac123,4,3
CFG731_8c8856d21252930e,4,3
CFG731_c976e33226ef748e,4,3
CFG731_62d0f0f6bab9bdcb,4,3
CFG731_828e0eccc54da7ae,4,3
CFG731_bae6e4f47f3132d8,4,3
CFG731_920bf82480de0a61,4,3
CFG731_b1196e0942d6104e,4,3
CFG731_f57ccd8e79618aa1,4,3
CFG731_258498329a834b05,4,3
CFG731_26554ff79bcf8a3f,4,3
CFG731_e8d4d37dfb814e2d,4,3
CFG731_1c1fb7a32bf0146b,4,3
CFG731_57a2b410fc32b41a,4,3
CFG731_7b17e78739264251,4,3
CFG731_143205a81a2e7efc,4,3
CFG731_312da2fbbd3df3eb,4,3
CFG731_45106eaed87837a4,4,3
CFG731_1434e7eedafa69d1,4,3
CFG731_7cc9f85131c775cb,4,3
CFG731_c6a3ff6155563d17,4,3
CFG731_496bd7a964d6cd85,4,3
CFG731_d03860c1f327a8d1,4,3
CFG731_555c215c4639435a,4,3
CFG731_dc8a3bad7d99b8ea,4,3
CFG731_c39096767a7ae083,4,3
CFG731_cf0d36d335e0ac93,4,3
CFG731_ac0f372c930c2e22,4,3
CFG731_169a8482d2028dff,4,3
CFG731_1f978c234895178c,4,3
CFG731_9eee2266c8068ada,4,3
CFG731_508d465d4c518290,4,3
CFG731_3fe2202b70f330b1,4,3
CFG731_7f60255816247683,4,3
CFG731_e049618b920d59b6,4,3
CFG731_4da2b3fd83325505,4,3
CFG731_a1f89a445799de07,4,3
CFG731_8189439864af87ea,4,3
CFG731_784eb334d1d77ae7,4,3
CFG731_a012df089e5e5862,4,3
CFG731_18e687233239e907,4,3
CFG731_13c137be155b0bd9,4,3
CFG731_338a3238e967f681,4,3
CFG731_ac3a4ff61341aa72,4,3
CFG731_84b16be5aab3bf9b,4,3
CFG731_783ba1dc5751818d,4,3
CFG731_7eb5b2d6a16dd3a3,4,3
CFG731_bf8f7d1a25ad0a6e,4,3
CFG731_935bc110c01e9e85,4,3
CFG731_b60961340903daf0,4,3
CFG731_117f19eb2913314e,4,3
CFG731_31d0a0df66872bf7,4,3
CFG731_10e74d757a2fa2a6,4,3
CFG731_b2ad61cdb45a54fb,4,3
CFG731_5e61ce3b60d15e11,4,3
CFG731_6be2d8f04f4b5682,4,3
CFG731_8d2d91c46ccfb471,4,3
CFG731_48a4e554ffcf39e6,4,3
CFG731_ef2da8cd513b19be,4,3
CFG731_28ff10770eb1b643,4,3
CFG731_48cf6bd4ca59e583,4,3
CFG731_7994662aa688a3b5,4,3
CFG731_b74fb5418dad3b38,4,3
CFG731_04ce01976de342c1,4,3
CFG731_bb4f0886ba308d63,4,3
CFG731_31b82ee906484bbd,4,3
CFG731_0d3b04d12b4208a2,4,3
CFG731_b4987f1c95e91d0d,4,3
CFG731_c3b5b1049b2ed7bb,4,3
CFG731_5052a216a260faff,4,3
CFG731_708466e4f37148f0,4,3
CFG731_aa82c10f35e81f8d,4,3
CFG731_db395082b1a3b8ac,4,3
CFG731_80409e6aafce9221,4,3
CFG731_7bcb1438c1b3f9f2,4,3
CFG731_39890affe81b5eb5,4,3
CFG731_8216171cc39f78aa,4,3
CFG731_dde2f7fe043f7ade,4,3
CFG731_72c610ffb054f7c4,4,3
CFG731_00533f723f7496de,4,3
CFG731_fc0b29ae617f0a6b,4,3
CFG731_868fc79316fb0836,4,3
CFG731_b86bbf24b1c3a419,4,3
CFG731_ff3460f478ef969b,4,3
CFG731_cbbe948e572a42e8,4,3
CFG731_3450383be0000281,4,3
CFG731_2c30adc3f721a104,4,3
CFG731_da6b811731deb07d,4,3
CFG731_64e162d496afc031,4,3
CFG731_04e7216b1ba7f935,4,3
CFG731_d99c5302ecc2907e,4,3
CFG731_80619ff0be976225,4,3
CFG731_ad54a3e31832f7d2,4,3
CFG731_ba522ec0a7a74924,4,3
CFG731_e489ae1a5426e276,4,3
CFG731_0aa987e1ae960c88,4,3
CFG731_b192ab056df1d8f7,4,3
CFG731_7e4e2943182c4add,4,3
CFG731_b5710e5f11e2cbc2,4,3
CFG731_f61d3bc030352da6,4,3
CFG731_a9a1b4f80067a4f8,4,3
CFG731_ff04d32ca467d2a5,4,3
CFG731_fd10dd35c97df399,4,3
CFG731_098817d766a37bc2,4,3
CFG731_cf4fb8862e2ab5fc,4,3
CFG731_e4d6e304563c3bae,4,3
CFG731_cd71ec2726e971ef,4,3
CFG731_2497a004dc6e1657,3,2
CFG731_040069031f4f021c,3,2
CFG731_4e59e6fc4174afa3,3,2
CFG731_97c654bf006e698e,3,2
CFG731_ae1f3e9a90950fc3,3,2
CFG731_800f2acd9158b556,3,2
CFG731_8048d4394d2fbde3,3,2
CFG731_274085596a46ecf6,3,2
CFG731_c050936f4a70e2a0,3,2
CFG731_f030e97d69c5c359,3,2
CFG731_c0eb036469c0bf44,3,2
CFG731_3f42c988dc83cb23,3,2
CFG731_e1c54b5b080fabb2,3,2
CFG731_fde1ab2a4808b544,3,2
CFG731_296392aa95929245,3,2
CFG731_14299a2a74e42d7f,3,2
CFG731_81fb6648eb2086c4,3,2
CFG731_da5f98932a1c6afd,3,2
CFG731_241d60e6ef5278be,3,2
CFG731_ae877a3b18b65d0a,3,2
CFG731_3c119308d8305ad4,3,2
CFG731_186348c5f967a6f7,3,2
CFG731_4b26dfbafad76131,3,2
CFG731_75466cb810218a66,3,2
CFG731_2e6a2f2496db9434,3,2
CFG731_2e5bd0d53757f625,3,2
CFG731_8cf35251fcd54982,3,2
CFG731_1a1206cc52132df1,3,2
CFG731_a59cc7e57b856164,3,2
CFG731_353333bad447dbef,3,2
CFG731_30d0a49acd35b928,3,2
CFG731_33fed5318b1a4f2f,3,2
CFG731_0e3baae8e946721c,3,2
CFG731_fdb901ceaee1caed,3,2
CFG731_0ed9dfc7367bb0a0,3,2
CFG731_dbb33a574e3ad4d8,3,2
CFG731_357a7724550c556f,3,2
CFG731_986bac7252cc57eb,3,2
CFG731_631dadb7c0c7adf5,3,2
CFG731_135ddf5639321fb6,3,2
CFG731_ad6f77e09c551945,3,2
CFG731_2ae6ccd85f4fafbe,3,2
CFG731_175641fe8d1c7f37,3,2
CFG731_672458a8e716cdf8,3,2
CFG731_78d3b084a795c836,3,2
CFG731_cb6654d77e7e4d72,3,2
CFG731_10085782ed0991cf,3,2
CFG731_6204dd6ea742eb13,3,2
CFG731_f2b81de0fc70d489,3,2
CFG731_31715eb409a1602f,3,2
CFG731_40e06ca56bd88fa1,3,2
CFG731_59cf92483eaddfcb,3,2
CFG731_5ea309f998205da7,3,2
CFG731_9c182e1af1606c9d,3,2
CFG731_2590cdb37d481b9a,3,2
CFG731_31aa13473958d7d3,3,2
CFG731_8fd0ed37b442c386,3,2
CFG731_3b56310e368fd60f,3,2
CFG731_6b5f6983490bc595,3,2
CFG731_073f991a6c9a4683,3,2
CFG731_98bb5036a27a91a8,3,2
CFG731_52771565b4b04f3a,3,2
