characteristic_a,characteristic_b,explosionApproval,certification,count,percentage,stromEingaenge,temperaturEingaenge,stromSchaltbar,housing,powerSupply,numberOfChannels,dataInterface,binaerDigitalOpenColl_MN,binaerOpenColl_MP
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",4,0.3787878787878788,,,,,,,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",,
dataInterface,certification,,NN,2,0.1893939393939394,,,,,,,"in {'PA', 'MR', 'FF', 'BM', 'HS'}",,
dataInterface,certification,,"in {'NN', 'WN'}",8,0.7575757575757576,,,,,,,"in {'PA', 'MR', 'FF', 'BM', 'HS'}",,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",2,0.1893939393939394,,,,,,,"in {'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",,
dataInterface,certification,,CN,2,0.1893939393939394,,,,,,,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",2,0.1893939393939394,,,,,,,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",,
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,4,0.3787878787878788,,,,,,,,MN2,NOVALUE
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,8,0.7575757575757576,,,,,,,,MN4,NOVALUE
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,2,0.1893939393939394,,,,,,,,NOVALUE,MP2
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,36,3.4090909090909087,,,,,,,,NOVALUE,MP4
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,26,2.462121212121212,,,,,,,,NOVALUE,NOVALUE
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,2,0.1893939393939394,,,,,,,,NOVALUE,"in {'MP2', 'MP4'}"
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,404,38.25757575757576,,,,,,,,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}"
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,2,0.1893939393939394,,,,,,,,NOVALUE,"in {NOVALUE, 'MP2', 'MP4'}"
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,2,0.1893939393939394,,,,,,,,NOVALUE,"in {NOVALUE, 'MP2'}"
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,6,0.5681818181818182,,,,,,,,"in {'MN2', 'MN4'}",NOVALUE
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,558,52.84090909090909,,,,,,,,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,3,0.2840909090909091,,,,,,,,"in {NOVALUE, 'MN2', 'MN4'}",NOVALUE
binaerDigitalOpenColl_MN,binaerOpenColl_MP,,,3,0.2840909090909091,,,,,,,,"in {NOVALUE, 'MN2'}",NOVALUE
