rfq_id,candidate_count,top_score,top_mandatory_coverage,top_preferred_coverage,top_overall_coverage,top_exact_count,top_contradiction_count,top_novalue_count,true_rank,mode,package_aware
RFQ731-000282,2913,25.46485810008258,0.7957647868589455,1.0,0.875,14,2,0,84,V8_EXTRACTED,True
RFQ731-000283,595,31.527257602868687,0.8304170222663426,1.0,0.875,14,1,1,86,V8_EXTRACTED,True
RFQ731-000284,121,28.381206916988962,0.9063479046432382,1.0,0.8888888888888888,8,1,0,2,V8_EXTRACTED,True
RFQ731-000285,2913,36.77240648994356,1.0,1.0,1.0,14,0,0,15,V8_EXTRACTED,True
RFQ731-000286,595,32.78133494213308,0.773738894195471,1.0,0.8823529411764706,15,1,1,1,V8_EXTRACTED,True
RFQ731-000287,2913,36.104237225808106,0.9297654350380657,1.0,0.9333333333333333,14,1,0,372,V8_EXTRACTED,True
RFQ731-000288,595,31.436720516580742,0.9227732904299893,1.0,0.9285714285714286,13,1,0,10,V8_EXTRACTED,True
RFQ731-000289,2913,22.57058185864515,0.7994394742318741,1.0,0.9230769230769231,12,1,0,4,V8_EXTRACTED,True
RFQ731-000290,2913,39.77748295684599,0.9373595548290188,1.0,0.9411764705882353,16,1,0,2,V8_EXTRACTED,True
RFQ731-000291,218,37.771869491678835,0.9406751518493063,1.0,0.9166666666666666,11,1,0,2,V8_EXTRACTED,True
RFQ731-000292,2913,43.37289553874497,0.9452804046587421,1.0,0.9411764705882353,16,0,1,1,V8_EXTRACTED,True
RFQ731-000293,2913,33.907814528604256,1.0,1.0,1.0,12,0,0,2,V8_EXTRACTED,True
RFQ731-000294,2913,24.643389870903675,0.7507369723057495,1.0,0.8571428571428571,12,1,1,40,V8_EXTRACTED,True
RFQ731-000295,2913,22.353998917992314,0.7253971230312379,1.0,0.8125,13,2,1,260,V8_EXTRACTED,True
RFQ731-000296,2913,29.811214379975695,0.8397503590105267,1.0,0.9333333333333333,14,1,0,1,V8_EXTRACTED,True
RFQ731-000297,291,45.813843138712954,1.0,1.0,1.0,14,0,0,1,V8_EXTRACTED,True
RFQ731-000298,2913,38.134915130895365,0.9341745303653369,1.0,0.9375,15,1,0,3,V8_EXTRACTED,True
RFQ731-000299,595,31.596346699410887,1.0,1.0,1.0,11,0,0,16,V8_EXTRACTED,True
RFQ731-000300,595,37.68336309175001,0.8966322144826153,1.0,0.9333333333333333,14,0,1,9,V8_EXTRACTED,True
RFQ731-000301,2913,33.20624678263189,1.0,1.0,1.0,12,0,0,42,V8_EXTRACTED,True
RFQ731-000302,218,24.663765434313902,0.8360835357701745,1.0,0.8181818181818182,9,1,1,50,V8_EXTRACTED,True
RFQ731-000303,2913,46.176282740282126,1.0,1.0,1.0,16,0,0,2,V8_EXTRACTED,True
RFQ731-000304,595,31.92917396098751,1.0,1.0,1.0,11,0,0,48,V8_EXTRACTED,True
RFQ731-000305,2913,24.387283812182616,0.7489621690881353,1.0,0.8571428571428571,12,1,1,39,V8_EXTRACTED,True
RFQ731-000306,595,35.39817547530699,0.8100140882268657,1.0,0.9333333333333333,14,0,1,1,V8_EXTRACTED,True
RFQ731-000307,97,31.737774433034865,0.825208206627737,1.0,0.7692307692307693,10,1,2,1,V8_EXTRACTED,True
RFQ731-000308,595,33.145639943573904,0.9303902246076519,1.0,0.9285714285714286,13,0,1,13,V8_EXTRACTED,True
RFQ731-000309,595,33.73857473566669,0.8268900478794539,1.0,0.8823529411764706,15,1,1,1,V8_EXTRACTED,True
RFQ731-000310,595,38.76985844876768,0.944002813603297,1.0,0.9375,15,0,1,5,V8_EXTRACTED,True
RFQ731-000311,2913,26.286736819961632,0.8000317837414459,1.0,0.875,14,2,0,22,V8_EXTRACTED,True
RFQ731-000312,2913,17.84475379862876,0.7612613976357238,1.0,0.9090909090909091,10,1,0,16,V8_EXTRACTED,True
RFQ731-000313,595,35.279800384741954,0.887778697117396,1.0,0.9285714285714286,13,0,1,171,V8_EXTRACTED,True
RFQ731-000314,2913,41.96200909719321,0.8934623116244463,1.0,0.9411764705882353,16,0,1,1,V8_EXTRACTED,True
RFQ731-000315,2913,26.102038811075648,0.8956457487342665,1.0,0.9166666666666666,11,1,0,15,V8_EXTRACTED,True
RFQ731-000316,291,32.62814857505931,0.9288502151562584,1.0,0.9230769230769231,12,0,1,62,V8_EXTRACTED,True
RFQ731-000317,595,29.734761653805755,0.8605126790177599,1.0,0.9166666666666666,11,0,1,59,V8_EXTRACTED,True
RFQ731-000318,2913,38.29605892047256,1.0,1.0,1.0,14,0,0,6,V8_EXTRACTED,True
RFQ731-000319,2913,20.25802488757843,0.7822950491947598,1.0,0.9166666666666666,11,1,0,18,V8_EXTRACTED,True
