characteristic_a,characteristic_b,package,package_sample_size,conditional_mutual_information,global_mutual_information
protectionArea,certification,"in {NOVALUE, 'F731TE'}",26,0.8904916402194913,0.6418900085633701
protectionArea,certification,"in {NOVALUE, 'G731CA'}",24,0.8112781244591328,0.6418900085633701
protectionArea,certification,"in {NOVALUE, 'G731ST-LT'}",133,0.863120568566631,0.6418900085633701
protectionArea,certification,"in {NOVALUE, 'G731ST-HT'}",133,0.863120568566631,0.6418900085633701
protectionArea,dataInterface,"in {NOVALUE, 'x731'}",696,0.3480107479206551,0.41180046974310336
protectionArea,dataInterface,"in {NOVALUE, 'F731TE'}",26,0.7366454863733375,0.41180046974310336
protectionArea,dataInterface,"in {NOVALUE, 'G731CA'}",24,0.5595346252938654,0.41180046974310336
protectionArea,dataInterface,"in {NOVALUE, 'G731ST-LT'}",133,0.5117029376432258,0.41180046974310336
protectionArea,dataInterface,"in {NOVALUE, 'G731ST-HT'}",133,0.5117029376432258,0.41180046974310336
protectionArea,stromSchaltbar,"in {NOVALUE, 'x731'}",696,0.0,0.010761614148120158
protectionArea,stromSchaltbar,"in {NOVALUE, 'F731TE'}",26,0.01780102730053701,0.010761614148120158
protectionArea,stromSchaltbar,"in {NOVALUE, 'G731CA'}",24,0.0,0.010761614148120158
protectionArea,stromSchaltbar,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.010761614148120158
protectionArea,stromSchaltbar,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.010761614148120158
protectionArea,stromEingaenge,"in {NOVALUE, 'x731'}",696,-1.1102230246251565e-16,0.0028219486680116646
protectionArea,stromEingaenge,"in {NOVALUE, 'G731CA'}",24,0.0,0.0028219486680116646
protectionArea,stromEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.0028219486680116646
protectionArea,stromEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.0028219486680116646
protectionArea,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,0.0,0.0009640223091631483
protectionArea,temperaturEingaenge,"in {NOVALUE, 'F731TE'}",26,0.0,0.0009640223091631483
protectionArea,temperaturEingaenge,"in {NOVALUE, 'G731CA'}",24,0.0,0.0009640223091631483
protectionArea,temperaturEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.0009640223091631483
protectionArea,temperaturEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.0009640223091631483
protectionArea,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.010246088034509437,0.024503789951767052
protectionArea,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731TE'}",26,0.09031753632664208,0.024503789951767052
protectionArea,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731CA'}",24,0.07686904176688891,0.024503789951767052
protectionArea,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-LT'}",133,0.0059777114237739015,0.024503789951767052
protectionArea,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-HT'}",133,0.0059777114237739015,0.024503789951767052
protectionArea,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.010246088034509437,0.018289976785407225
protectionArea,binaerOpenColl_MP,"in {NOVALUE, 'F731TE'}",26,0.0019055645046179848,0.018289976785407225
protectionArea,binaerOpenColl_MP,"in {NOVALUE, 'G731CA'}",24,0.027118996607711,0.018289976785407225
protectionArea,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-LT'}",133,0.0059777114237739015,0.018289976785407225
protectionArea,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-HT'}",133,0.0059777114237739015,0.018289976785407225
protectionArea,waveInjector,"in {NOVALUE, 'x731'}",696,0.0,0.00038488690336624387
protectionArea,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.0,0.0022814335096231764
protectionArea,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.0,0.0022049779501704947
protectionArea,customUserFluid,"in {NOVALUE, 'x731'}",696,0.0,0.0004620194682758427
certification,dataInterface,"in {NOVALUE, 'x731'}",696,0.35898352899794705,0.5675197873471658
certification,dataInterface,"in {NOVALUE, 'F731WD_DualChannel'}",12,1.1102230246251565e-16,0.5675197873471658
certification,dataInterface,"in {NOVALUE, 'F731TE'}",26,0.9485599096166814,0.5675197873471658
certification,dataInterface,"in {NOVALUE, 'G731CA'}",24,1.0978548143998654,0.5675197873471658
certification,dataInterface,"in {NOVALUE, 'G731ST-LT'}",133,0.6745438613020293,0.5675197873471658
certification,dataInterface,"in {NOVALUE, 'G731ST-HT'}",133,0.6745438613020293,0.5675197873471658
certification,dataInterface,"in {NOVALUE, 'F731PW'}",20,0.7219280948873623,0.5675197873471658
certification,stromSchaltbar,"in {NOVALUE, 'x731'}",696,0.02435124351807394,0.08781628319968249
certification,stromSchaltbar,"in {NOVALUE, 'F731WD_DualChannel'}",12,1.1102230246251565e-16,0.08781628319968249
certification,stromSchaltbar,"in {NOVALUE, 'F731TE'}",26,0.01780102730053712,0.08781628319968249
certification,stromSchaltbar,"in {NOVALUE, 'G731CA'}",24,0.0,0.08781628319968249
certification,stromSchaltbar,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.08781628319968249
certification,stromSchaltbar,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.08781628319968249
certification,stromSchaltbar,"in {NOVALUE, 'F731PW'}",20,0.0,0.08781628319968249
certification,stromEingaenge,"in {NOVALUE, 'x731'}",696,0.3737817839288955,0.29600196173643756
certification,stromEingaenge,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.0,0.29600196173643756
certification,stromEingaenge,"in {NOVALUE, 'G731CA'}",24,0.0,0.29600196173643756
certification,stromEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.29600196173643756
certification,stromEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.29600196173643756
certification,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,0.3737817839288955,0.3117583495770717
certification,temperaturEingaenge,"in {NOVALUE, 'F731TE'}",26,0.0,0.3117583495770717
certification,temperaturEingaenge,"in {NOVALUE, 'G731CA'}",24,0.0,0.3117583495770717
certification,temperaturEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.3117583495770717
certification,temperaturEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.3117583495770717
certification,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.018039217989577416,0.08630798797961914
certification,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731TE'}",26,0.40746777143542023,0.08630798797961914
certification,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731CA'}",24,0.4204484631347316,0.08630798797961914
certification,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-LT'}",133,0.1280852788913942,0.08630798797961914
certification,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-HT'}",133,0.1280852788913942,0.08630798797961914
certification,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731PW'}",20,0.17095059445466865,0.08630798797961914
certification,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.018039217989577416,0.09719752116256819
certification,binaerOpenColl_MP,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.0,0.09719752116256819
certification,binaerOpenColl_MP,"in {NOVALUE, 'F731TE'}",26,0.26420629790593053,0.09719752116256819
certification,binaerOpenColl_MP,"in {NOVALUE, 'G731CA'}",24,0.31127812445913294,0.09719752116256819
certification,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-LT'}",133,0.1280852788913942,0.09719752116256819
certification,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-HT'}",133,0.1280852788913942,0.09719752116256819
certification,binaerOpenColl_MP,"in {NOVALUE, 'F731PW'}",20,0.17095059445466865,0.09719752116256819
certification,waveInjector,"in {NOVALUE, 'x731'}",696,0.14210392820517437,0.19308739332872493
certification,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.3737817839288955,0.14071345541612734
certification,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.09004120766966928,0.05167806920949891
certification,customUserFluid,"in {NOVALUE, 'x731'}",696,0.3737817839288955,0.2015743730049453
dataInterface,stromSchaltbar,"in {NOVALUE, 'x731'}",696,0.13167748747398456,0.44858324209626455
dataInterface,stromSchaltbar,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.7924812503605781,0.44858324209626455
dataInterface,stromSchaltbar,"in {NOVALUE, 'F731TE'}",26,1.2689289124151837,0.44858324209626455
dataInterface,stromSchaltbar,"in {NOVALUE, 'G731CA'}",24,0.8035088547976783,0.44858324209626455
dataInterface,stromSchaltbar,"in {NOVALUE, 'G731ST-LT'}",133,0.09036338398616639,0.44858324209626455
dataInterface,stromSchaltbar,"in {NOVALUE, 'G731ST-HT'}",133,0.09036338398616639,0.44858324209626455
dataInterface,stromSchaltbar,"in {NOVALUE, 'F731PW'}",20,1.9999999999999998,0.44858324209626455
dataInterface,stromEingaenge,"in {NOVALUE, 'x731'}",696,0.2642012958739608,0.3487157343189775
dataInterface,stromEingaenge,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.6666666666666667,0.3487157343189775
dataInterface,stromEingaenge,"in {NOVALUE, 'G731CA'}",24,0.8035088547976783,0.3487157343189775
dataInterface,stromEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,0.06235975368935209,0.3487157343189775
dataInterface,stromEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,0.06235975368935209,0.3487157343189775
dataInterface,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,0.2859921388308351,0.4446682020121959
dataInterface,temperaturEingaenge,"in {NOVALUE, 'F731TE'}",26,0.0,0.4446682020121959
dataInterface,temperaturEingaenge,"in {NOVALUE, 'G731CA'}",24,0.014521481066532171,0.4446682020121959
