package_context,characteristic,observed_values,observed_value_count,rule_occurrences,source_rows
F731WD_DualChannel,spannung0_10v,NOVALUE,1,12,12
F731WD_DualChannel,spannung0_1v,NOVALUE,1,12,12
F731WD_DualChannel,spannungsEingaenge,NOVALUE,1,12,12
F731WD_DualChannel,steamApplication,NOVALUE,1,12,12
F731WD_DualChannel,stromAktiv,NOVALUE,1,12,12
F731WD_DualChannel,stromAktiv24,NOVALUE,1,12,12
F731WD_DualChannel,stromEingaenge,IS1|IS2|NOVALUE,3,12,12
F731WD_DualChannel,stromEingaengeExia,NOVALUE,1,12,12
F731WD_DualChannel,stromEingaenge_passiv,NOVALUE,1,12,12
F731WD_DualChannel,stromPassiv,NOVALUE,1,12,12
F731WD_DualChannel,stromPassivExib,NOVALUE,1,12,12
F731WD_DualChannel,stromSchaltbar,CS2|CS3|CS4|NOVALUE,4,12,12
F731WD_DualChannel,tagPlate,1|NOVALUE,2,12,12
F731WD_DualChannel,temperaturEingaenge,NOVALUE,1,12,12
F731WD_DualChannel,temperaturEingaengeExi,NOVALUE,1,12,12
F731WD_DualChannel,type,731,1,12,12
F731WD_DualChannel,waveInjector,NOVALUE,1,12,12
F731WD_SingleChannel,OrgUnitAreaOfDocument,0|1|2|3,4,8,8
F731WD_SingleChannel,StromPassivExia,NOVALUE,1,8,8
F731WD_SingleChannel,binaerDigitalOpenCollExia_MA,NOVALUE,1,8,8
F731WD_SingleChannel,binaerDigitalOpenColl_MN,NOVALUE,1,8,8
F731WD_SingleChannel,binaerDigitalOptoRelay,NOVALUE,1,8,8
F731WD_SingleChannel,binaerDigitalReedRelay,NOVALUE,1,8,8
F731WD_SingleChannel,binaerEingaenge,NOVALUE,1,8,8
F731WD_SingleChannel,binaerOpenColl30v,NOVALUE,1,8,8
F731WD_SingleChannel,binaerOpenCollExib,NOVALUE,1,8,8
F731WD_SingleChannel,binaerOpenCollNamur,NOVALUE,1,8,8
F731WD_SingleChannel,binaerOpenColl_BC,NOVALUE,1,8,8
F731WD_SingleChannel,binaerOpenColl_MP,MP4|NOVALUE,2,8,8
F731WD_SingleChannel,binaerOpenColl_SC,NOVALUE,1,8,8
F731WD_SingleChannel,binaerOptoRelay_BO,NOVALUE,1,8,8
F731WD_SingleChannel,binaerOptoRelay_SO,NOVALUE,1,8,8
F731WD_SingleChannel,binaerReedRelay_BR,NOVALUE,1,8,8
F731WD_SingleChannel,binaerReedRelay_SR,NOVALUE,1,8,8
F731WD_SingleChannel,carryingCase,NOVALUE,1,8,8
F731WD_SingleChannel,certification,CN|FN|NN|WN,4,8,8
F731WD_SingleChannel,characteristic,WD,1,8,8
F731WD_SingleChannel,customUserFluid,NOVALUE,1,8,8
F731WD_SingleChannel,dataInterface,BM|BT|DB|FF|HS|MR|MT|NN|PA,9,8,8
F731WD_SingleChannel,devCategory,F,1,8,8
F731WD_SingleChannel,dev_advMeterVerification,1|NOVALUE,2,8,8
F731WD_SingleChannel,dynamicGasMaster,NOVALUE,1,8,8
F731WD_SingleChannel,explosionApproval,N,1,8,8
F731WD_SingleChannel,frequenz0_5khzNamur,NOVALUE,1,8,8
F731WD_SingleChannel,frequenz0_5khz_FC,NOVALUE,1,8,8
F731WD_SingleChannel,frequenz0_5khz_FO,NOVALUE,1,8,8
F731WD_SingleChannel,frequenz5_15HzExia,NOVALUE,1,8,8
F731WD_SingleChannel,hardwareAP,NOVALUE,1,8,8
F731WD_SingleChannel,housing,AL|ST,2,8,8
F731WD_SingleChannel,inclusiveManual,QI,1,8,8
F731WD_SingleChannel,installationsart,stationaer,1,8,8
F731WD_SingleChannel,intrinsicSafety,N,1,8,8
F731WD_SingleChannel,marke,flexim,1,8,8
F731WD_SingleChannel,measuringTape,NOVALUE,1,8,8
F731WD_SingleChannel,numberOfChannels,1,1,8,8
F731WD_SingleChannel,packageFixed_dev,F731WD_SingleChannel|NOVALUE,2,8,8
F731WD_SingleChannel,powerCable,NOVALUE,1,8,8
F731WD_SingleChannel,powerSupply,1|4,2,8,8
F731WD_SingleChannel,protectionArea,N,1,8,8
F731WD_SingleChannel,spannung0_10v,NOVALUE,1,8,8
F731WD_SingleChannel,spannung0_1v,NOVALUE,1,8,8
F731WD_SingleChannel,spannungsEingaenge,NOVALUE,1,8,8
F731WD_SingleChannel,steamApplication,NOVALUE,1,8,8
F731WD_SingleChannel,stromAktiv,NOVALUE,1,8,8
F731WD_SingleChannel,stromAktiv24,NOVALUE,1,8,8
F731WD_SingleChannel,stromEingaenge,IS1|IS2|NOVALUE,3,8,8
F731WD_SingleChannel,stromEingaengeExia,NOVALUE,1,8,8
F731WD_SingleChannel,stromEingaenge_passiv,NOVALUE,1,8,8
F731WD_SingleChannel,stromPassiv,NOVALUE,1,8,8
F731WD_SingleChannel,stromPassivExib,NOVALUE,1,8,8
F731WD_SingleChannel,stromSchaltbar,CS2|NOVALUE,2,8,8
F731WD_SingleChannel,tagPlate,1|NOVALUE,2,8,8
F731WD_SingleChannel,temperaturEingaenge,NOVALUE,1,8,8
F731WD_SingleChannel,temperaturEingaengeExi,NOVALUE,1,8,8
F731WD_SingleChannel,type,731,1,8,8
F731WD_SingleChannel,waveInjector,NOVALUE,1,8,8
G731CA,OrgUnitAreaOfDocument,0|1|2|3,4,24,24
G731CA,StromPassivExia,NOVALUE,1,24,24
G731CA,binaerDigitalOpenCollExia_MA,NOVALUE,1,24,24
G731CA,binaerDigitalOpenColl_MN,MN4|NOVALUE,2,24,24
G731CA,binaerDigitalOptoRelay,NOVALUE,1,24,24
G731CA,binaerDigitalReedRelay,NOVALUE,1,24,24
G731CA,binaerEingaenge,NOVALUE,1,24,24
G731CA,binaerOpenColl30v,NOVALUE,1,24,24
G731CA,binaerOpenCollExib,NOVALUE,1,24,24
G731CA,binaerOpenCollNamur,NOVALUE,1,24,24
G731CA,binaerOpenColl_BC,NOVALUE,1,24,24
G731CA,binaerOpenColl_MP,MP4|NOVALUE,2,24,24
G731CA,binaerOpenColl_SC,NOVALUE,1,24,24
G731CA,binaerOptoRelay_BO,NOVALUE,1,24,24
G731CA,binaerOptoRelay_SO,NOVALUE,1,24,24
G731CA,binaerReedRelay_BR,NOVALUE,1,24,24
G731CA,binaerReedRelay_SR,NOVALUE,1,24,24
G731CA,carryingCase,NOVALUE,1,24,24
G731CA,certification,FN|NN|WN,3,24,24
G731CA,characteristic,CA,1,24,24
G731CA,customUserFluid,NOVALUE,1,24,24
G731CA,dataInterface,BM|BT|DB|FF|HS|MR|MT|NN|PA,9,24,24
G731CA,devCategory,G,1,24,24
G731CA,dev_advMeterVerification,1|NOVALUE,2,24,24
G731CA,dynamicGasMaster,NOVALUE,1,24,24
G731CA,explosionApproval,A|E|F|J|K|N|P|S,8,24,24
G731CA,frequenz0_5khzNamur,NOVALUE,1,24,24
G731CA,frequenz0_5khz_FC,NOVALUE,1,24,24
G731CA,frequenz0_5khz_FO,NOVALUE,1,24,24
G731CA,frequenz5_15HzExia,NOVALUE,1,24,24
G731CA,hardwareAP,NOVALUE,1,24,24
G731CA,housing,AL|ST,2,24,24
G731CA,inclusiveManual,QI,1,24,24
G731CA,installationsart,stationaer,1,24,24
G731CA,intrinsicSafety,N,1,24,24
G731CA,marke,flexim,1,24,24
G731CA,measuringTape,NOVALUE,1,24,24
G731CA,numberOfChannels,1|2,2,24,24
G731CA,packageFixed_dev,G731CA|NOVALUE,2,24,24
G731CA,powerCable,NOVALUE,1,24,24
G731CA,powerSupply,1|4,2,24,24
G731CA,protectionArea,2|N,2,24,24
G731CA,spannung0_10v,NOVALUE,1,24,24
G731CA,spannung0_1v,NOVALUE,1,24,24
G731CA,spannungsEingaenge,NOVALUE,1,24,24
G731CA,steamApplication,NOVALUE,1,24,24
G731CA,stromAktiv,NOVALUE,1,24,24
G731CA,stromAktiv24,NOVALUE,1,24,24
G731CA,stromEingaenge,IS1|IS2,2,24,24
G731CA,stromEingaengeExia,NOVALUE,1,24,24
G731CA,stromEingaenge_passiv,NOVALUE,1,24,24
G731CA,stromPassiv,NOVALUE,1,24,24
G731CA,stromPassivExib,NOVALUE,1,24,24
G731CA,stromSchaltbar,CS2|NOVALUE,2,24,24
G731CA,tagPlate,1|NOVALUE,2,24,24
G731CA,temperaturEingaenge,TT1|TT2,2,24,24
G731CA,temperaturEingaengeExi,NOVALUE,1,24,24
G731CA,type,731,1,24,24
G731CA,waveInjector,NOVALUE,1,24,24
G731ST-HT,OrgUnitAreaOfDocument,0|1|2|3,4,133,133
G731ST-HT,StromPassivExia,NOVALUE,1,133,133
G731ST-HT,binaerDigitalOpenCollExia_MA,NOVALUE,1,133,133
G731ST-HT,binaerDigitalOpenColl_MN,MN1|MN2|MN3|MN4|NOVALUE,5,133,133
G731ST-HT,binaerDigitalOptoRelay,NOVALUE,1,133,133
G731ST-HT,binaerDigitalReedRelay,NOVALUE,1,133,133
G731ST-HT,binaerEingaenge,NOVALUE,1,133,133
G731ST-HT,binaerOpenColl30v,NOVALUE,1,133,133
G731ST-HT,binaerOpenCollExib,NOVALUE,1,133,133
G731ST-HT,binaerOpenCollNamur,NOVALUE,1,133,133
G731ST-HT,binaerOpenColl_BC,NOVALUE,1,133,133
G731ST-HT,binaerOpenColl_MP,MP1|MP2|MP3|MP4|NOVALUE,5,133,133
G731ST-HT,binaerOpenColl_SC,NOVALUE,1,133,133
G731ST-HT,binaerOptoRelay_BO,NOVALUE,1,133,133
G731ST-HT,binaerOptoRelay_SO,NOVALUE,1,133,133
G731ST-HT,binaerReedRelay_BR,NOVALUE,1,133,133
G731ST-HT,binaerReedRelay_SR,NOVALUE,1,133,133
G731ST-HT,carryingCase,NOVALUE,1,133,133
G731ST-HT,certification,FN|NN|WN,3,133,133
G731ST-HT,characteristic,ST,1,133,133
G731ST-HT,customUserFluid,1|NOVALUE,2,133,133
G731ST-HT,dataInterface,BM|BT|DB|FF|HS|MR|MT|NN|PA,9,133,133
G731ST-HT,devCategory,G,1,133,133
G731ST-HT,dev_advMeterVerification,NOVALUE,1,133,133
G731ST-HT,dynamicGasMaster,NOVALUE,1,133,133
G731ST-HT,explosionApproval,A|E|F|J|K|N|P|S,8,133,133
G731ST-HT,frequenz0_5khzNamur,NOVALUE,1,133,133
G731ST-HT,frequenz0_5khz_FC,NOVALUE,1,133,133
G731ST-HT,frequenz0_5khz_FO,NOVALUE,1,133,133
G731ST-HT,frequenz5_15HzExia,NOVALUE,1,133,133
G731ST-HT,hardwareAP,NOVALUE,1,133,133
G731ST-HT,housing,AL|ST,2,133,133
G731ST-HT,inclusiveManual,QI,1,133,133
G731ST-HT,installationsart,stationaer,1,133,133
G731ST-HT,intrinsicSafety,N,1,133,133
G731ST-HT,marke,flexim,1,133,133
G731ST-HT,measuringTape,NOVALUE,1,133,133
G731ST-HT,numberOfChannels,2,1,133,133
G731ST-HT,packageFixed_dev,G731ST-HT|NOVALUE,2,133,133
G731ST-HT,powerCable,NOVALUE,1,133,133
G731ST-HT,powerSupply,1|4,2,133,133
G731ST-HT,protectionArea,2|N,2,133,133
G731ST-HT,spannung0_10v,NOVALUE,1,133,133
G731ST-HT,spannung0_1v,NOVALUE,1,133,133
G731ST-HT,spannungsEingaenge,NOVALUE,1,133,133
G731ST-HT,steamApplication,H,1,133,133
G731ST-HT,stromAktiv,NOVALUE,1,133,133
G731ST-HT,stromAktiv24,NOVALUE,1,133,133
G731ST-HT,stromEingaenge,IS1|IS2|IS3|IS4|NOVALUE,5,133,133
G731ST-HT,stromEingaengeExia,NOVALUE,1,133,133
G731ST-HT,stromEingaenge_passiv,NOVALUE,1,133,133
G731ST-HT,stromPassiv,NOVALUE,1,133,133
G731ST-HT,stromPassivExib,NOVALUE,1,133,133
G731ST-HT,stromSchaltbar,CS1|CS2|CS3|CS4|NOVALUE,5,133,133
G731ST-HT,tagPlate,1|NOVALUE,2,133,133
G731ST-HT,temperaturEingaenge,NOVALUE|TT1|TT2|TT3|TT4,5,133,133
G731ST-HT,temperaturEingaengeExi,NOVALUE,1,133,133
G731ST-HT,type,731,1,133,133
G731ST-HT,waveInjector,FWI|NOVALUE,2,133,133
G731ST-LT,OrgUnitAreaOfDocument,0|1|2|3,4,133,133
G731ST-LT,StromPassivExia,NOVALUE,1,133,133
G731ST-LT,binaerDigitalOpenCollExia_MA,NOVALUE,1,133,133
G731ST-LT,binaerDigitalOpenColl_MN,MN1|MN2|MN3|MN4|NOVALUE,5,133,133
G731ST-LT,binaerDigitalOptoRelay,NOVALUE,1,133,133
G731ST-LT,binaerDigitalReedRelay,NOVALUE,1,133,133
G731ST-LT,binaerEingaenge,NOVALUE,1,133,133
G731ST-LT,binaerOpenColl30v,NOVALUE,1,133,133
G731ST-LT,binaerOpenCollExib,NOVALUE,1,133,133
G731ST-LT,binaerOpenCollNamur,NOVALUE,1,133,133
G731ST-LT,binaerOpenColl_BC,NOVALUE,1,133,133
G731ST-LT,binaerOpenColl_MP,MP1|MP2|MP3|MP4|NOVALUE,5,133,133
G731ST-LT,binaerOpenColl_SC,NOVALUE,1,133,133
G731ST-LT,binaerOptoRelay_BO,NOVALUE,1,133,133
G731ST-LT,binaerOptoRelay_SO,NOVALUE,1,133,133
G731ST-LT,binaerReedRelay_BR,NOVALUE,1,133,133
G731ST-LT,binaerReedRelay_SR,NOVALUE,1,133,133
