package,characteristic,value,count,package_size,percentage
"in {NOVALUE, 'G731ST-LT'}",temperaturEingaenge,"in {NOVALUE, 'TT1'}",28,133,21.052631578947366
"in {NOVALUE, 'G731ST-LT'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-LT'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2', 'TT3'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-LT'}",temperaturEingaenge,NOVALUE,21,133,15.789473684210526
"in {NOVALUE, 'G731ST-LT'}",binaerDigitalOpenColl_MN,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",76,133,57.14285714285714
"in {NOVALUE, 'G731ST-LT'}",binaerDigitalOpenColl_MN,NOVALUE,57,133,42.857142857142854
"in {NOVALUE, 'G731ST-LT'}",binaerOpenColl_MP,NOVALUE,76,133,57.14285714285714
"in {NOVALUE, 'G731ST-LT'}",binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",57,133,42.857142857142854
"in {NOVALUE, 'G731ST-LT'}",waveInjector,NOVALUE,133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",dev_advMeterVerification,"in {NOVALUE, 1}",133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",dynamicGasMaster,NOVALUE,133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",customUserFluid,"in {NOVALUE, 1}",133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",steamApplication,N,133,133,100.0
"in {NOVALUE, 'G731VG'}",devCategory,G,4,4,100.0
"in {NOVALUE, 'G731VG'}",characteristic,VG,4,4,100.0
"in {NOVALUE, 'G731VG'}",housing,"in {'ST', 'AL'}",4,4,100.0
"in {NOVALUE, 'G731VG'}",powerSupply,"in {'1', '4'}",4,4,100.0
"in {NOVALUE, 'G731VG'}",numberOfChannels,2,4,4,100.0
"in {NOVALUE, 'G731VG'}",explosionApproval,F,4,4,100.0
"in {NOVALUE, 'G731VG'}",protectionArea,2,4,4,100.0
"in {NOVALUE, 'G731VG'}",certification,NN,4,4,100.0
"in {NOVALUE, 'G731VG'}",dataInterface,"in {'NN', 'MT', 'MR'}",2,4,50.0
"in {NOVALUE, 'G731VG'}",dataInterface,HS,2,4,50.0
"in {NOVALUE, 'G731VG'}",stromSchaltbar,CS2,2,4,50.0
"in {NOVALUE, 'G731VG'}",stromSchaltbar,"in {'CS2', 'CS3'}",1,4,25.0
