regime,model,feature,importance,rank,abs_importance
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__observed_configuration_score,0.0180063698326628,11,0.0180063698326628
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__record_type__OBSERVED,0.0161198639071256,12,0.0161198639071256
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__generation_method__REAL_OBSERVED,0.0152482191244786,13,0.0152482191244786
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__record_type__DERIVED,0.0137393859613197,14,0.0137393859613197
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.0129895963305228,15,0.0129895963305228
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,0.0116852365433676,16,0.0116852365433676
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__evidence_level__LOW,0.007290626071871,17,0.007290626071871
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__evidence_level__VERY_STRONG,0.0064589437961299,18,0.0064589437961299
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__evidence_level__MODERATE,0.0044816390061889,19,0.0044816390061889
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_temperaturEingaenge__NOVALUE,0.0039267376448841,20,0.0039267376448841
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_temperaturEingaenge__TT1,0.0032965015413292,21,0.0032965015413292
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_stromEingaenge__NOVALUE,0.0028034833473227,22,0.0028034833473227
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_stromEingaenge__IS1,0.0027549917774824,23,0.0027549917774824
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_stromSchaltbar__CS1,0.0024258538921572,24,0.0024258538921572
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_stromSchaltbar__NOVALUE,0.0020642826067727,25,0.0020642826067727
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_dynamicGasMaster__1,0.001064835238487,26,0.001064835238487
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_dynamicGasMaster__NOVALUE,0.0007911804831452,27,0.0007911804831452
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.0006798390055494,28,0.0006798390055494
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_dev_advMeterVerification__1,0.0006611272608514,29,0.0006611272608514
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__config_customUserFluid__NOVALUE,0.0005404430496556,30,0.0005404430496556
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,DIFF__nearest_real_distance,-0.0304,36,0.0304
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,DIFF__source_frequency,-0.0194,35,0.0194
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.0135999999999999,1,0.0135999999999999
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.0134,2,0.0134
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,DIFF__num_changed_characteristics,-0.0118666666666666,34,0.0118666666666666
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__MODERATE,-0.0089333333333333,33,0.0089333333333333
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__IS1,0.0083999999999999,3,0.0083999999999999
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,DIFF__evidence_score,-0.007,32,0.007
