source_id,target_id,relation,provenance,source,source_row,characteristic
CHAR_b00a6c108553e242,VAL_14b7a2fc061f4506,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_14b7a2fc061f4506,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,certification
CHAR_2743acf9f9f31d85,VAL_bbb8d08f2c39b7d8,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_bbb8d08f2c39b7d8,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,dataInterface
CHAR_e6b825a8f00631c9,VAL_d7c92cb205b8cac0,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_d7c92cb205b8cac0,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,stromSchaltbar
CHAR_ea20af37a43b49c2,VAL_b5806f5cd68764d8,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_b5806f5cd68764d8,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,stromEingaenge
CHAR_1c2479fe5d4ca3d1,VAL_ae2d2fb4c6b7dfd1,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_ae2d2fb4c6b7dfd1,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,temperaturEingaenge
CHAR_1b5c416bdf600de3,VAL_50b6289cde98dc49,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_50b6289cde98dc49,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,steamApplication
CHAR_f7177e64d56e3ad7,VAL_c5ff5c75f35a3e2d,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_c5ff5c75f35a3e2d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,waveInjector
CHAR_765948744ee85ab2,VAL_2676bd8840266aad,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_2676bd8840266aad,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,tagPlate
CHAR_1beded9c4b2bca21,VAL_386cbad7dcf5b735,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_386cbad7dcf5b735,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,inclusiveManual
CHAR_ead020de570cb29d,VAL_d723eea6e08b5602,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
