regime,model,transformed_feature,importance,absolute_importance,importance_type
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_dataInterface_HS,0.6754045176302899,0.6754045176302899,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_MN4,-0.494649990935369,0.494649990935369,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,mandatory_satisfied,0.4680182287220021,0.4680182287220021,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,mandatory_total,0.4680182287220021,0.4680182287220021,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,preferred_satisfied,0.4404811209920944,0.4404811209920944,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,preferred_total,0.4404811209920944,0.4404811209920944,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_dataInterface_PA,0.428971141183317,0.428971141183317,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_explosionApproval_N,0.39385412829190897,0.39385412829190897,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_protectionArea_N,0.39385412829190897,0.39385412829190897,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_protectionArea_2,0.39344168812961927,0.39344168812961927,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_dataInterface_NN,0.23092507587464717,0.23092507587464717,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_explosionApproval_F,0.20037554684531125,0.20037554684531125,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_numberOfChannels,0.1548638858428368,0.1548638858428368,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_dataInterface_MT,0.14147735171550813,0.14147735171550813,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_explosionApproval_K,0.10607906678496011,0.10607906678496011,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_explosionApproval_A,0.08698707449934757,0.08698707449934757,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_characteristic_VG,0.07536134902984866,0.07536134902984866,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_stromEingaenge_IS2,0.03562969661439995,0.03562969661439995,coefficient
REALISTIC_BASELINE,RANDOM_FOREST,config_stromSchaltbar_NOVALUE,0.09183607426297595,0.09183607426297595,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_temperaturEingaenge_NOVALUE,0.07371494487103855,0.07371494487103855,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_temperaturEingaenge_TT1,0.06173017084905117,0.06173017084905117,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_stromSchaltbar_CS1,0.06088616610467642,0.06088616610467642,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_stromEingaenge_NOVALUE,0.052154267162847844,0.052154267162847844,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_stromEingaenge_IS1,0.05062858651389084,0.05062858651389084,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_customUserFluid_1,0.03820136628891707,0.03820136628891707,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_customUserFluid_NOVALUE,0.036814404855474644,0.036814404855474644,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,mandatory_total,0.0244768682959283,0.0244768682959283,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,mandatory_satisfied,0.024201069307096836,0.024201069307096836,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,preferred_total,0.0235117446320438,0.0235117446320438,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,preferred_satisfied,0.02346834683929055,0.02346834683929055,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_dataInterface_NN,0.02334111026568404,0.02334111026568404,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_dataInterface_HS,0.02235337548567228,0.02235337548567228,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_powerSupply,0.022172345316488453,0.022172345316488453,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_devCategory_F,0.02167417542527371,0.02167417542527371,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_dev_advMeterVerification_1,0.020923988031771774,0.020923988031771774,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_devCategory_G,0.02089151858583119,0.02089151858583119,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_binaerOpenColl_MP_NOVALUE,0.018593710261056176,0.018593710261056176,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_binaerOpenColl_MP_MP1,0.018462833096655723,0.018462833096655723,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_dev_advMeterVerification_NOVALUE,0.01780643179605562,0.01780643179605562,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_binaerDigitalOpenColl_MN_MN1,0.016267572690894908,0.016267572690894908,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_binaerDigitalOpenColl_MN_NOVALUE,0.0161929692407706,0.0161929692407706,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_stromSchaltbar_CS2,0.013308786900616812,0.013308786900616812,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_dynamicGasMaster_1,0.012972407457093578,0.012972407457093578,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_waveInjector_NOVALUE,0.012943390975401113,0.012943390975401113,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_dynamicGasMaster_NOVALUE,0.012591224861606345,0.012591224861606345,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_waveInjector_FWI,0.012037124249681515,0.012037124249681515,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_characteristic_GP,0.010742811875687068,0.010742811875687068,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_certification_MN,0.010636775893440323,0.010636775893440323,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_certification_NN,0.010309079245735075,0.010309079245735075,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_devCategory_H,0.009074646773207361,0.009074646773207361,feature_importance
