regime,model,base_feature,transformed_feature_count,total_absolute_importance,mean_absolute_importance,max_absolute_importance,importance_rank
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_NOVALUE,1,0.9887201503400552,0.9887201503400552,0.9887201503400552,26
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dataInterface_HS,1,0.9649652509752236,0.9649652509752236,0.9649652509752236,27
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_characteristic_GP,1,0.9092408414823449,0.9092408414823449,0.9092408414823449,28
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dataInterface_MT,1,0.8275510930319023,0.8275510930319023,0.8275510930319023,29
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_stromEingaenge_IS1,1,0.8171249708650482,0.8171249708650482,0.8171249708650482,30
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_devCategory_G,1,0.7389222342719547,0.7389222342719547,0.7389222342719547,31
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dynamicGasMaster_1,1,0.6596697611696736,0.6596697611696736,0.6596697611696736,32
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,unmentioned_features,1,0.6328870815842488,0.6328870815842488,0.6328870815842488,33
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_devCategory_S,1,0.5825313932364486,0.5825313932364486,0.5825313932364486,34
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,evidence_level_MODERATE,1,0.5697537465741482,0.5697537465741482,0.5697537465741482,35
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,evidence_level_VERY_STRONG,1,0.5435489287764754,0.5435489287764754,0.5435489287764754,36
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,generation_method_ONE_CHARACTERISTIC,1,0.5311210775295921,0.5311210775295921,0.5311210775295921,37
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dynamicGasMaster_NOVALUE,1,0.5296072949506585,0.5296072949506585,0.5296072949506585,38
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_steamApplication_H,1,0.5084185538849629,0.5084185538849629,0.5084185538849629,39
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_customUserFluid_1,1,0.481171423260972,0.481171423260972,0.481171423260972,40
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_devCategory_H,1,0.4806046417823373,0.4806046417823373,0.4806046417823373,41
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_numberOfChannels,1,0.4700014063452962,0.4700014063452962,0.4700014063452962,42
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,generation_method_TWO_CHARACTERISTIC,1,0.4386234572765393,0.4386234572765393,0.4386234572765393,43
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dev_advMeterVerification_1,1,0.3740017972705493,0.3740017972705493,0.3740017972705493,44
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_customUserFluid_NOVALUE,1,0.3511089570419584,0.3511089570419584,0.3511089570419584,45
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,observed_configuration_score,1,0.348999437060126,0.348999437060126,0.348999437060126,46
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_characteristic_WD,1,0.2744660678269013,0.2744660678269013,0.2744660678269013,47
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,evidence_level_STRONG,1,0.2608444352595387,0.2608444352595387,0.2608444352595387,48
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_MP4,1,0.2482551215563224,0.2482551215563224,0.2482551215563224,49
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dev_advMeterVerification_NOVALUE,1,0.2439393310515296,0.2439393310515296,0.2439393310515296,50
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,record_type_OBSERVED,1,0.2349879377189478,0.2349879377189478,0.2349879377189478,51
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,evidence_level_OBSERVED,1,0.234987937718941,0.234987937718941,0.234987937718941,52
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,generation_method_REAL_OBSERVED,1,0.234987937718941,0.234987937718941,0.234987937718941,53
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_explosionApproval_A,1,0.2311681208847782,0.2311681208847782,0.2311681208847782,54
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_temperaturEingaenge_NOVALUE,1,0.2299138009819717,0.2299138009819717,0.2299138009819717,55
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,mandatory_total,1,0.2234712978715694,0.2234712978715694,0.2234712978715694,56
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,mandatory_satisfied,1,0.2234712978715623,0.2234712978715623,0.2234712978715623,57
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_explosionApproval_F,1,0.2148545414724287,0.2148545414724287,0.2148545414724287,58
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,preferred_satisfied,1,0.213039345021599,0.213039345021599,0.213039345021599,59
