regime,model,feature,importance,rank
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__generation_method__ONE_CHARACTERISTIC,0.02544985775143127,10
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__LOW,0.024143870963021494,11
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,0.015314667072152673,12
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__VERY_STRONG,0.012539156380665991,13
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__MODERATE,0.009611586311928294,14
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_temperaturEingaenge__NOVALUE,0.006750308651739826,15
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_temperaturEingaenge__TT1,0.006625780151243636,16
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromEingaenge__IS1,0.004354861816555414,17
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromEingaenge__NOVALUE,0.004114077880856315,18
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromSchaltbar__NOVALUE,0.004033075993068324,19
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromSchaltbar__CS1,0.00399955870971698,20
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_dynamicGasMaster__NOVALUE,0.0017722031721842623,21
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_dynamicGasMaster__1,0.00151518516898614,22
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_dev_advMeterVerification__1,0.0014190974716436096,23
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.0011699050726719621,24
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_customUserFluid__NOVALUE,0.001016278678225789,25
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__STRONG,0.0010121613020742004,26
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.0008766393191604337,27
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_customUserFluid__1,0.0008655402899114236,28
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.0007571907199109399,29
