regime,model,package,rfqs,top1,top3,top5,top10,mrr,ndcg5,candidate_rows,mean_candidates,median_candidates
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,G731ST-HT,86,0.8953488372093024,0.9883720930232558,1.0,1.0,0.9447674418604651,0.9590478440307565,324,3.7674418604651163,3.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,X731,444,0.8828828828828829,1.0,1.0,1.0,0.9403153153153153,0.9558908962274806,1667,3.7545045045045047,3.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,G731CA,41,1.0,1.0,1.0,1.0,1.0,1.0,56,1.3658536585365855,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,F731WD_SINGLECHANNEL,14,1.0,1.0,1.0,1.0,1.0,1.0,20,1.4285714285714286,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,F731WD_DUALCHANNEL,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,35,1.4583333333333333,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,17,1.1333333333333333,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,F731TE,24,1.0,1.0,1.0,1.0,1.0,1.0,32,1.3333333333333333,1.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,G731ST-LT,79,0.8987341772151899,1.0,1.0,1.0,0.9493670886075949,0.962625797830021,316,4.0,4.0
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,G731ST-HT,86,0.8488372093023255,1.0,1.0,1.0,0.9224806201550388,0.9426878725913662,324,3.7674418604651163,3.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,X731,444,0.9166666666666666,0.9977477477477478,1.0,1.0,0.9570195195195195,0.9682033517556373,1667,3.7545045045045047,3.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,G731CA,41,1.0,1.0,1.0,1.0,1.0,1.0,56,1.3658536585365855,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,F731WD_SINGLECHANNEL,14,1.0,1.0,1.0,1.0,1.0,1.0,20,1.4285714285714286,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,F731WD_DUALCHANNEL,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,35,1.4583333333333333,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,17,1.1333333333333333,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,F731TE,24,1.0,1.0,1.0,1.0,1.0,1.0,32,1.3333333333333333,1.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,G731ST-LT,79,0.8987341772151899,1.0,1.0,1.0,0.9493670886075949,0.962625797830021,316,4.0,4.0
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-HT,86,0.872093023255814,0.9883720930232558,1.0,1.0,0.9331395348837209,0.9504648150440461,324,3.7674418604651163,3.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,X731,444,0.918918918918919,1.0,1.0,1.0,0.9590840840840842,0.9697804985923446,1667,3.7545045045045047,3.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731CA,41,1.0,1.0,1.0,1.0,1.0,1.0,56,1.3658536585365855,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_SINGLECHANNEL,14,1.0,1.0,1.0,1.0,1.0,1.0,20,1.4285714285714286,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731WD_DUALCHANNEL,24,0.9166666666666666,1.0,1.0,1.0,0.9583333333333334,0.9692441461309548,35,1.4583333333333333,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,17,1.1333333333333333,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,F731TE,24,1.0,1.0,1.0,1.0,1.0,1.0,32,1.3333333333333333,1.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731ST-LT,79,0.9113924050632911,1.0,1.0,1.0,0.9556962025316456,0.9672975731012683,316,4.0,4.0
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0
