replicate,top1,mrr,ndcg5
67,0.9357923497267759,0.9672131147540983,0.9757557268126535
68,0.9262295081967213,0.9631147540983607,0.9727735064110092
69,0.9275956284153005,0.962431693989071,0.9721834209799112
70,0.9289617486338798,0.9644808743169399,0.9737818950624533
71,0.9262295081967213,0.9627732240437158,0.9724999364718041
72,0.9316939890710383,0.9655054644808743,0.9745167137746923
73,0.9316939890710383,0.9658469945355191,0.9747902837138974
74,0.9508196721311475,0.975068306010929,0.9815754343348011
75,0.9166666666666666,0.9569672131147541,0.9681498663741347
76,0.930327868852459,0.9648224043715847,0.9740125194489704
77,0.930327868852459,0.9648224043715847,0.9740125194489704
78,0.9508196721311475,0.9754098360655737,0.9818490042740062
79,0.9453551912568307,0.9719945355191257,0.9792850870927079
80,0.9371584699453552,0.9685792349726776,0.9768070610167855
81,0.9153005464480874,0.9569672131147541,0.9681928119268228
82,0.9371584699453552,0.9685792349726776,0.9768070610167855
83,0.9357923497267759,0.9668715846994536,0.9754821568734486
84,0.9398907103825137,0.969603825136612,0.9775418797290246
85,0.9412568306010929,0.9702868852459017,0.9780460740547468
86,0.9316939890710383,0.9658469945355191,0.9747902837138974
87,0.9344262295081968,0.9668715846994536,0.9755251024261365
88,0.9453551912568307,0.9726775956284153,0.9798322269711178
89,0.9221311475409836,0.960724043715847,0.9709873534946379
90,0.9330601092896175,0.9658469945355191,0.9747473381612095
91,0.9316939890710383,0.9658469945355191,0.9747902837138974
92,0.9385245901639344,0.9692622950819673,0.9773112553425076
93,0.9344262295081968,0.9672131147540983,0.9757986723653415
94,0.9139344262295082,0.9562841530054644,0.9676886176011007
95,0.9371584699453552,0.9682377049180327,0.9765334910775806
96,0.924863387978142,0.9617486338797814,0.9717221722068771
97,0.9412568306010929,0.9706284153005464,0.9783196439939517
98,0.9357923497267759,0.9675546448087432,0.9760292967518585
99,0.9576502732240437,0.9784836065573771,0.9840964059634115
100,0.9439890710382514,0.9716530054644809,0.9790544627061908
101,0.924863387978142,0.9614071038251366,0.971448602267672
102,0.9398907103825137,0.969603825136612,0.9775418797290246
103,0.9453551912568307,0.9723360655737705,0.979558657031913
104,0.9275956284153005,0.9634562841530054,0.9730041307975262
105,0.9549180327868853,0.976775956284153,0.9828144473727621
106,0.9439890710382514,0.9716530054644809,0.9790544627061908
107,0.9508196721311475,0.9754098360655737,0.9818490042740062
108,0.9234972677595629,0.9614071038251366,0.9714915478203601
109,0.9193989071038251,0.9590163934426229,0.9697053949039888
110,0.9549180327868853,0.9771174863387978,0.9830880173119673
111,0.9221311475409836,0.9610655737704918,0.9712609234338428
112,0.9344262295081968,0.9668715846994536,0.9755251024261365
113,0.930327868852459,0.9644808743169399,0.9737389495097653
114,0.9234972677595629,0.9614071038251366,0.9714915478203601
115,0.9439890710382514,0.9713114754098361,0.978780892766986
116,0.9398907103825137,0.9699453551912568,0.9778154496682298
117,0.9426229508196722,0.9713114754098361,0.9788238383196738
118,0.9289617486338798,0.9641393442622951,0.9735083251232481
119,0.9508196721311475,0.9754098360655737,0.9818490042740061
120,0.9344262295081968,0.9665300546448088,0.9752515324869314
121,0.9221311475409836,0.9610655737704918,0.9712609234338431
122,0.9398907103825137,0.9699453551912568,0.9778154496682298
123,0.930327868852459,0.9651639344262295,0.9742860893881753
124,0.9398907103825137,0.969603825136612,0.9775418797290246
125,0.9467213114754098,0.9730191256830601,0.9800628513576349
126,0.9494535519125683,0.9747267759562842,0.981344809948284
127,0.9398907103825137,0.9699453551912568,0.9778154496682298
128,0.9385245901639344,0.9689207650273224,0.9770376854033027
129,0.9398907103825137,0.9699453551912568,0.9778154496682298
130,0.9330601092896175,0.9661885245901639,0.9750209081004143
131,0.9275956284153005,0.9627732240437158,0.9724569909191163
132,0.9275956284153005,0.9631147540983607,0.9727305608583211
133,0.930327868852459,0.9648224043715847,0.9740125194489703
134,0.9357923497267759,0.967896174863388,0.9763028666910636
135,0.9275956284153005,0.9631147540983607,0.9727305608583211
136,0.9480874316939891,0.9737021857923497,0.9805670456833571
137,0.9344262295081968,0.9672131147540983,0.9757986723653415
138,0.9289617486338798,0.9634562841530054,0.9729611852448382
139,0.9357923497267759,0.9675546448087432,0.9760292967518585
140,0.9467213114754098,0.9733606557377049,0.98033642129684
141,0.9508196721311475,0.9754098360655737,0.9818490042740061
142,0.9412568306010929,0.9702868852459017,0.9780460740547468
143,0.9439890710382514,0.9719945355191257,0.9793280326453959
144,0.9344262295081968,0.9672131147540983,0.9757986723653413
145,0.9234972677595629,0.9617486338797814,0.9717651177595652
146,0.9412568306010929,0.9706284153005464,0.9783196439939517
147,0.9385245901639344,0.9692622950819673,0.9773112553425076
148,0.9289617486338798,0.9641393442622951,0.9735083251232483
149,0.9385245901639344,0.9692622950819673,0.9773112553425075
150,0.9467213114754098,0.9726775956284153,0.9797892814184299
151,0.9549180327868853,0.9771174863387978,0.9830880173119673
152,0.9412568306010929,0.9706284153005464,0.9783196439939517
153,0.9398907103825137,0.9699453551912568,0.9778154496682298
154,0.9275956284153005,0.9637978142076503,0.9732777007367313
155,0.9275956284153005,0.9631147540983607,0.9727305608583212
156,0.9193989071038251,0.9596994535519126,0.970252534782399
157,0.9371584699453552,0.9685792349726776,0.9768070610167855
158,0.9289617486338798,0.9641393442622951,0.9735083251232481
